,method,accuracy,f1,precision,recall,macro-f1,minority-f1
0,logreg,0.5666666666666667,0.39666666666666667,0.36666666666666664,0.45,0.4616666666666666,0.39666666666666667
1,knn,0.475,0.25,0.3,0.25,0.3883333333333333,0.25
2,gaussianNB,0.6416666666666667,0.2333333333333333,0.3,0.2,0.4916666666666667,0.2333333333333333
3,bernoulliNB,0.6166666666666667,0.21666666666666665,0.25,0.2,0.46833333333333327,0.21666666666666665
4,adaboost,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
5,gradient-boosting,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
6,dec-tree,0.8166666666666667,0.76,0.7833333333333333,0.8,0.76,0.76
7,linear-svc,0.6666666666666666,0.63,0.5666666666666667,0.75,0.605,0.63
8,c-svc,0.6916666666666667,0.5466666666666666,0.5666666666666667,0.55,0.5933333333333334,0.5466666666666666
